date,total_cons,moving_avg,norm_cons
2013-03-01,19041.91,19971.737333333334,0.9534428418612622
2013-04-01,19099.19,19912.631999999998,0.9591494484506117
2013-05-01,20582.5,19928.140333333333,1.032835962398967
2013-06-01,21523.05,19981.940333333332,1.0771251260367258
2013-07-01,22737.15,20125.595666666668,1.1297628341832764
2013-08-01,23051.38,20340.21,1.1332911508779901
2013-09-01,22300.34,20412.3,1.0924952112206856
2013-10-01,21574.25,20512.230666666666,1.0517749312881493
2013-11-01,20314.22,20523.058,0.9898242259998485
2013-12-01,18969.71,20456.878,0.9273022990116087
2014-01-01,19272.46,20385.139666666666,0.9454171183096628
2014-02-01,17552.02,20200.909,0.8688727819129327
2014-03-01,19331.99,20108.789666666664,0.9613701431292841
2014-04-01,19396.09,20050.502,0.9673618146817471
2014-05-01,20936.92,20055.636333333332,1.0439419448986484
2014-06-01,21361.27,20139.061666666665,1.0606884448522387
2014-07-01,22876.48,20283.565666666665,1.1278332604801553
2014-08-01,23619.68,20520.268666666667,1.151041459723578
2014-09-01,23679.35,20629.462333333333,1.1478413551156212
2014-10-01,22589.25,20744.218333333334,1.0889419710600488
2014-11-01,20991.38,20736.913,1.0122712093164494
2014-12-01,19472.06,20719.675333333333,0.9397859612536401
2015-01-01,19532.53,20637.971,0.9464365464996534
2015-02-01,17028.61,20456.697999999997,0.8324222218072537
2015-03-01,19641.7,20398.914333333334,0.9628796748219101
2015-04-01,19568.88,20326.133333333335,0.9627448407960851
2015-05-01,21059.68,20365.41033333333,1.0340906299113608
2015-06-01,21322.34,20477.97766666667,1.0412327011523093
2015-07-01,23476.96,20603.220333333335,1.1394801210768652
2015-08-01,23487.6,20846.364999999998,1.1267000265993616
2015-09-01,22517.83,20962.229000000003,1.0742097130987358
2015-10-01,21937.42,21056.836666666666,1.0418193552656136
2015-11-01,20710.39,21061.099666666665,0.9833479888411651
2015-12-01,19735.34,21001.50933333333,0.9397105554064306
2016-01-01,19171.06,20882.63966666667,0.918038155425402
2016-02-01,17002.83,20681.021333333334,0.8221465335754534
2016-03-01,19617.96,20591.608666666667,0.9527162407547696
2016-04-01,19706.85,20529.362,0.9599348484380565
2016-05-01,21493.9,20568.684666666668,1.0449817452271377
2016-06-01,22155.2,20674.86766666667,1.0716005711475491
2016-07-01,23587.25,20818.694000000003,1.1329841343554017
2016-08-01,24048.26,21035.235333333334,1.1432370315292881
2016-09-01,23268.79,21166.462000000003,1.09932354306544
2016-10-01,22930.64,21284.280333333332,1.0773509670462431
2016-11-01,21695.02,21309.550333333333,1.0180890568142913
